Month,Fresno_precip,Kern_precip,Kings_precip,Madera_precip,Merced_precip,Tulare_precip
2008-10,0.18,0.04,0.11000000000000001,0.18,0.1,0.16
2008-11,1.49,1.46,0.61,1.49,0.34,1.04
2008-12,1.19,1.7,0.95,1.19,0.94,0.49000000000000005
2009-01,1.25,0.88,0.64,1.25,1.53,0.38
2009-02,2.33,1.18,1.25,2.33,1.9899999999999998,0.27999999999999997
2009-03,0.32,0.4,0.08,0.32,0.38,0.04
2009-04,0.5900000000000001,0.63,0.060000000000000005,0.5900000000000001,0.39,0.02
2009-05,0.41000000000000003,0.24,0.24,0.41000000000000003,0.24000000000000002,0.05
2009-06,0.48,0.2,0.17,0.48,0.0,0.08
2009-07,0.0,0.0,0.0,0.0,0.0,0.0
2009-08,0.0,0.0,0.0,0.0,0.0,0.0
2009-09,0.02,0.16,0.05,0.02,0.11,0.0
2009-10,1.37,0.0,0.27,1.37,1.19,0.21000000000000002
2009-11,0.22999999999999998,0.32,0.18000000000000002,0.22999999999999998,0.24000000000000002,0.2
2009-12,2.5,1.65,1.07,2.5,1.31,1.3
2010-01,2.02,1.9000000000000001,3.2,2.02,1.57,2.7
2010-02,2.94,2.5900000000000003,1.55,2.94,0.24,2.08
2010-03,1.0,1.11,0.33,1.0,0.16,0.85
2010-04,2.5300000000000002,1.9300000000000002,1.01,2.5300000000000002,2.04,1.19
2010-05,0.17,1.34,0.14,0.17,0.09999999999999999,0.16
2010-06,0.0,0.0,0.0,0.0,0.02,0.0
2010-07,0.0,0.08,0.0,0.0,0.0,0.0
2010-08,0.0,0.0,0.0,0.0,0.0,0.0
2010-09,0.0,0.0,0.0,0.0,0.0,0.0
2010-10,0.65,0.28,0.54,0.65,0.11,0.0
2010-11,2.0100000000000002,1.02,1.25,2.0100000000000002,1.39,0.0
2010-12,5.74,5.65,4.430000000000001,5.74,2.5100000000000002,6.05
2011-01,1.8,0.5900000000000001,1.02,1.8,1.3800000000000001,0.88
2011-02,1.48,1.3399999999999999,0.65,1.48,1.47,0.51
2011-03,3.49,1.97,1.9000000000000001,3.49,2.12,1.82
2011-04,0.23,0.12,0.28,0.23,0.19,0.57
2011-05,0.49,0.6000000000000001,0.15,0.49,0.8,0.28
2011-06,1.9300000000000002,0.04,0.3,1.9300000000000002,0.65,0.49
2011-07,0.0,0.32,0.0,0.0,0.0,0.0
2011-08,0.0,0.0,0.0,0.0,0.0,0.0
2011-09,0.02,0.0,0.0,0.02,0.0,0.09000000000000001
2011-10,0.97,0.9099999999999999,0.3,0.97,1.31,0.26
2011-11,0.8200000000000001,1.04,0.75,0.8200000000000001,0.8300000000000001,0.67
2011-12,0.02,0.08,0.0,0.02,0.09000000000000001,0.01
2012-01,1.47,0.0,0.0,1.47,0.58,0.45
2012-02,0.62,0.32,0.5599999999999999,0.62,0.42,0.09
2012-03,2.56,1.53,1.65,2.56,1.3900000000000001,1.3900000000000001
2012-04,3.13,1.62,1.76,3.13,0.72,2.32
2012-05,0.0,0.0,0.0,0.0,0.05,0.0
2012-06,0.0,0.0,0.0,0.0,0.15,0.0
2012-07,0.0,0.0,0.0,0.0,0.0,0.0
2012-08,0.06,0.0,0.0,0.06,0.0,0.0
2012-09,0.0,0.0,0.0,0.0,0.0,0.0
2012-10,2.96,0.0,0.21000000000000002,2.96,0.0,0.0
2012-11,0.99,0.24000000000000002,0.21,0.99,1.26,0.25
2012-12,1.74,2.42,1.19,1.74,2.3000000000000003,1.6199999999999999
2013-01,0.54,1.6199999999999999,0.33999999999999997,0.54,0.93,0.58
2013-02,0.5800000000000001,0.67,0.34,0.5800000000000001,0.27999999999999997,0.7000000000000001
2013-03,0.71,0.91,0.84,0.71,0.88,0.8200000000000001
2013-04,0.12000000000000001,0.16,0.23,0.12000000000000001,0.15,0.06
2013-05,0.07,0.56,0.45,0.07,0.0,0.5700000000000001
2013-06,0.0,0.04,0.0,0.0,0.0,0.0
2013-07,0.0,0.0,0.0,0.0,0.0,0.01
2013-08,0.06,0.0,0.0,0.06,0.0,0.0
2013-09,0.0,0.16,0.0,0.0,0.02,0.0
2013-10,0.060000000000000005,0.16,0.0,0.060000000000000005,0.01,0.2
2013-11,0.37,0.87,0.06,0.37,0.19,0.81
2013-12,0.23,0.2,0.04,0.23,0.25,0.04
2014-01,0.01,0.08,0.1,0.01,0.18,0.09
2014-02,1.23,0.32,1.2799999999999998,1.23,1.78,0.8300000000000001
2014-03,0.7000000000000001,0.86,0.81,0.7000000000000001,1.08,0.86
2014-04,0.81,0.76,0.15,0.81,0.36,0.35
2014-05,0.21,0.04,0.0,0.21,0.02,0.04
2014-06,0.0,0.32,0.0,0.0,0.0,0.0
2014-07,0.02,0.0,0.0,0.02,0.0,0.0
2014-08,0.0,0.0,0.0,0.0,0.0,0.0
2014-09,0.07,0.0,0.0,0.07,0.01,0.0
2014-10,0.42,0.67,0.65,0.42,0.78,0.07
2014-11,0.92,0.04,0.12,0.92,0.61,0.47000000000000003
2014-12,2.93,2.05,2.03,2.93,3.01,0.5700000000000001
2015-01,0.31,0.51,0.11,0.31,0.08,0.68
2015-02,1.3399999999999999,1.14,0.67,1.3399999999999999,0.75,0.31
2015-03,0.11,0.28,0.11,0.11,0.12,0.13
2015-04,1.2799999999999998,0.2,0.52,1.2799999999999998,0.56,0.22
2015-05,0.83,0.7200000000000001,0.5700000000000001,0.83,0.07,0.56
2015-06,0.0,0.2,0.0,0.0,0.0,0.01
2015-07,0.19,0.67,0.03,0.19,0.0,0.02
2015-08,0.0,0.79,0.0,0.0,0.06,0.0
2015-09,0.06,0.12,0.0,0.06,0.0,0.03
2015-10,0.41000000000000003,0.6,0.39,0.41000000000000003,0.33,1.1500000000000001
2015-11,2.13,0.9,0.6100000000000001,2.13,1.78,1.22
2015-12,3.3000000000000003,0.61,1.19,3.3000000000000003,0.94,1.48
